No,T,P,phiV,T0_in,Reactor,CO2_in,CO_in,H2_in,N2_in,CO2_out,CO_out,H2_out,MeOH_out,H2O_out,N2_out,tet0,gamma,Density,d,L,phiVout,T0_out,T_K,CO2_conversion,MeOH_selectivity,data_source
180,240.0,50,132.86392895,20.0,0,22.97,0.005,67.27,9.75,20.0184060966374,1.86505983942047,62.0577755708753,2.03182557191589,3.8864784089395,10.1404545122114,0.0,0.960952722130057,810.0,0.00635,0.031576,0.0,20.0,513.15,0.12849777550555508,0.6883824938116099,published Slotboom et al.
171,210.0,50,100.079323116667,20.0,0,23.24,0.005,68.07,8.68,21.7910571697137,0.579036124726146,64.8046804762817,1.66738952816406,2.23608695060091,8.92174975051349,0.0,0.967744703706364,810.0,0.00635,0.031576,0.0,20.0,483.15,0.062346937619892386,1.1507628136263994,published Slotboom et al.
153,210.0,40,65.77221235,20.0,0,22.66,0.005,67.64,9.69,21.3748833411268,0.489058597604264,64.7317645380365,1.49892130605456,1.97767427364348,9.92769794353446,0.0,0.970910632269492,860.0,0.00635,0.031576,0.0,20.0,483.15,0.05671300348072374,1.1663698355360406,published Slotboom et al.
145,250.0,20,66.79446565,20.0,0,22.55,0.005,67.8,9.64,19.3304986564098,2.69160759935845,63.5072472744972,0.978005773371461,3.65941828761062,9.83322240875242,0.0,0.980814171496811,870.0,0.00635,0.031576,0.0,20.0,523.15,0.14277167820799108,0.3037755444080189,published Slotboom et al.
164,260.0,50,65.77221235,20.0,0,23.05,0.005,67.25,9.69,18.5227196958161,3.12734208097371,59.8065541606643,2.5664102993271,5.68325087463034,10.2937228885885,0.0,0.951123003122449,860.0,0.00635,0.031576,0.0,20.0,533.15,0.1964112930231627,0.5668768282262849,published Slotboom et al.
223,260.0,50,33.3702183333333,20.0,0,12.0,0.005,79.93,8.06,7.59969237331642,1.70639886268082,73.2944869882182,3.5716626204436,5.2673389570158,8.56042019832512,0.0,0.933380201936267,860.0,0.00635,0.031576,0.0,20.0,533.15,0.3666923022236317,0.8116847555804836,published Slotboom et al.
178,220.0,50,132.86392895,20.0,0,22.97,0.005,67.24,9.79,21.3986702040525,0.676707186655606,63.8006254157571,1.70415758678887,2.37051684699648,10.0493227597494,0.0,0.967062819873082,810.0,0.00635,0.031576,0.0,20.0,493.15,0.06840791449488458,1.0845320894340182,published Slotboom et al.
177,210.0,50,132.86392895,20.0,0,22.87,0.005,67.34,9.78,21.754324677918,0.343725438290818,64.6218760078741,1.46566995225749,1.79909656184705,10.0153073618124,0.0,0.971537152529215,810.0,0.00635,0.031576,0.0,20.0,483.15,0.04878335470406653,1.3137065266643624,published Slotboom et al.
200,210.0,50,99.9686094333333,20.0,0,15.87,0.005,78.29,5.83,14.2901319139002,0.367082764265013,75.4301901280154,1.82650959651265,2.18321218176338,5.90287341554335,0.0,0.964807743797101,860.0,0.00635,0.031576,0.0,20.0,483.15,0.09955060403905475,1.1561152558133714,published Slotboom et al.
162,240.0,50,65.77221235,20.0,0,22.98,0.005,67.27,9.74,19.1825226870858,2.42245474157416,60.6172716119247,2.54412575935326,4.95607632381214,10.2775488762499,0.0,0.951559732258245,860.0,0.00635,0.031576,0.0,20.0,513.15,0.16525140613203657,0.6699515361688592,published Slotboom et al.
160,220.0,50,65.77221235,20.0,0,22.97,0.005,67.23,9.79,20.6345381192538,1.19137320207472,62.5123047475288,2.1551517436731,3.33608932213381,10.1705428653358,0.0,0.958696253843821,860.0,0.00635,0.031576,0.0,20.0,493.15,0.10167443973644746,0.9227946563548759,published Slotboom et al.
213,220.0,50,32.6633393333333,20.0,0,15.96,0.005,77.85,6.18,13.0286835044896,1.13355748023726,72.9349503133669,2.67786265085237,3.80087529474925,6.42407075630467,0.0,0.949209972266728,860.0,0.00635,0.031576,0.0,20.0,493.15,0.18366644708711788,0.9135358310690023,published Slotboom et al.
191,240.0,50,167.130183,20.0,0,16.04,0.005,77.75,6.19,13.0523404499846,1.55942437091831,73.3853923102539,2.25104610805157,3.79996405471508,5.95183270607658,0.0,0.957149148873879,870.0,0.00635,0.031576,0.0,20.0,513.15,0.1862630642154239,0.7534479984642051,published Slotboom et al.
156,240.0,40,65.77221235,20.0,0,22.37,0.005,66.76,10.86,19.3995966977083,2.094057119468,62.0061951246005,1.53410851515836,3.61787619658689,11.348166346478,0.0,0.970180907659417,860.0,0.00635,0.031576,0.0,20.0,513.15,0.13278512750521682,0.5164647218021801,published Slotboom et al.
