No,T,P,phiV,T0_in,Reactor,CO2_in,CO_in,H2_in,N2_in,CO2_out,CO_out,H2_out,MeOH_out,H2O_out,N2_out,tet0,gamma,Density,d,L,phiVout,T0_out
39,250,40,237,20,1,5.69,8.22,69.61,16.48,5.46,5.02,65.44,4.88,0.99,18.21,0.993,0.913208502024291,1097.22222222222,0,0,0,20
40,230,50,237,20,1,5.8,8.32,69.37,16.51,5.44,3.65,64.18,6.86,1.2,18.67,1.062,0.877047176729406,1097.22222222222,0,0,0,20
41,240,50,237,20,1,5.8,8.32,69.37,16.51,5.43,3.74,64.18,6.75,1.2,18.7,1.108,0.878765613519471,1097.22222222222,0,0,0,20
42,250,50,237,20,1,5.8,8.32,69.37,16.51,5.45,4.14,64.45,6.24,1.2,18.52,1.153,0.887899034892353,1097.22222222222,0,0,0,20
43,230,60,237,20,1,5.8,8.32,69.37,16.51,5.46,3.07,63.32,7.8,1.3,19.05,1.344,0.865203761755486,1097.22222222222,0,0,0,20
44,240,60,237,20,1,5.8,8.32,69.37,16.51,5.41,3.1,63.13,7.83,1.43,19.1,1.286,0.864786695589299,1097.22222222222,0,0,0,20
45,250,60,237,20,1,5.8,8.32,69.37,16.51,5.38,3.43,63.53,7.4,1.42,18.84,1.199,0.871085214857975,1097.22222222222,0,0,0,20
46,260,30,240,20,1,3.16,11.59,69.48,15.77,3.18,8.97,67.1,3.47,0.23,17.05,24.966,0.931307793923382,1097.22222222222,0,0,0,20
47,250,30,240,20,1,3.16,11.59,69.48,15.77,3.17,8.52,66.72,4.11,0.26,17.22,25.113,0.920125293657009,1097.22222222222,0,0,0,20
48,240,30,240,20,1,3.16,11.59,69.48,15.77,3.18,8.23,66.46,4.53,0.26,17.34,25.252,0.913449080072558,1097.22222222222,0,0,0,20
49,230,30,240,20,1,3.16,11.59,69.48,15.77,3.19,8.2,66.44,4.57,0.26,17.34,25.406,0.912975912975913,1097.22222222222,0,0,0,20
50,240,30,240,20,1,3.16,11.59,69.48,15.77,3.19,8.23,66.46,4.52,0.26,17.34,25.59,0.913685847589425,1097.22222222222,0,0,0,20
51,250,30,240,20,1,3.16,11.59,69.48,15.77,3.2,8.54,66.62,4.11,0.28,17.25,25.73,0.921327757449033,1097.22222222222,0,0,0,20
52,260,30,240,20,1,3.16,11.59,69.48,15.77,3.2,9.03,66.94,3.5,0.23,17.1,25.883,0.933280381254964,1097.22222222222,0,0,0,20
53,230,40,240,20,1,3.16,11.59,69.48,15.77,3.23,7.2,65.15,6.23,0.33,17.86,24.359,0.890826383623957,1097.22222222222,0,0,0,20
54,240,40,240,20,1,3.16,11.59,69.48,15.77,3.25,7.09,65.16,6.3,0.32,17.88,24.527,0.888804841149773,1097.22222222222,0,0,0,20
55,250,40,240,20,1,3.16,11.59,69.48,15.77,3.24,7.32,65.46,5.87,0.32,17.79,24.666,0.893762677484787,1097.22222222222,0,0,0,20
56,260,40,240,20,1,3.16,11.59,69.48,15.77,3.23,7.78,65.97,5.16,0.31,17.55,24.826,0.904077968709926,1097.22222222222,0,0,0,20
57,260,50,240,20,1,3.16,11.59,69.48,15.77,3.23,6.71,64.75,6.75,0.37,18.19,23.885,0.879930104842736,1097.22222222222,0,0,0,20
58,250,50,240,20,1,3.16,11.59,69.48,15.77,3.27,6.25,64.2,7.56,0.38,18.34,24.017,0.870800395256917,1097.22222222222,0,0,0,20
59,240,50,240,20,1,3.16,11.59,69.48,15.77,3.25,6.01,63.94,7.95,0.39,18.46,24.157,0.865243004418262,1097.22222222222,0,0,0,20
60,230,50,240,20,1,3.16,11.59,69.48,15.77,3.24,6.16,64.07,7.76,0.39,18.38,24.31,0.868226600985222,1097.22222222222,0,0,0,20
61,230,60,240,20,1,3.16,11.59,69.48,15.77,3.22,5.16,63.2,9.19,0.45,18.78,23.299,0.846948582412302,1097.22222222222,0,0,0,20
62,240,60,240,20,1,3.16,11.59,69.48,15.77,3.23,5.04,63.07,9.36,0.47,18.83,23.446,0.844716031631919,1097.22222222222,0,0,0,20
63,250,60,240,20,1,3.16,11.59,69.48,15.77,3.26,5.27,63.3,8.98,0.46,18.73,23.585,0.850012056908609,1097.22222222222,0,0,0,20
64,258,60,240,20,1,3.16,11.59,69.48,15.77,3.27,5.66,63.74,8.4,0.45,18.48,23.697,0.858290723155588,1097.22222222222,0,0,0,20
65,230,30,240,20,1,2.56,20.82,60.59,16.03,2.79,17.54,55.44,5.88,0.2,18.15,5.898,0.897202561509943,1097.22222222222,0,0,0,20
66,240,30,240,20,1,2.56,20.82,60.59,16.03,2.85,17.45,55.72,5.72,0.16,18.1,5.539,0.896296296296296,1097.22222222222,0,0,0,20
67,260,30,240,20,1,2.56,20.82,60.59,16.03,2.89,17.94,56.87,4.48,0.16,17.66,6.111,0.91258141926637,1097.22222222222,0,0,0,20
68,230,40,240,20,1,2.56,20.82,60.59,16.03,2.94,16.19,53.49,8.22,0.27,18.89,5.945,0.862325882734046,1097.22222222222,0,0,0,20
69,240,40,240,20,1,2.56,20.82,60.59,16.03,3,16.06,53.45,8.35,0.21,18.93,5.988,0.860374919198449,1097.22222222222,0,0,0,20
70,250,40,240,20,1,2.56,20.82,60.59,16.03,3.02,16.2,54.03,7.77,0.21,18.77,6.031,0.864847303443795,1097.22222222222,0,0,0,20
71,260,40,240,20,1,2.56,20.82,60.59,16.03,3.07,16.61,54.91,6.8,0.2,18.41,6.067,0.877968337730871,1097.22222222222,0,0,0,20
72,230,50,240,20,1,2.56,20.82,60.59,16.03,3.06,14.84,52.05,10.45,0.21,19.39,6.261,0.829283489096573,1097.22222222222,0,0,0,20
73,240,50,240,20,1,2.56,20.82,60.59,16.03,3.1,14.61,51.75,10.75,0.24,19.55,6.215,0.824403840198204,1097.22222222222,0,0,0,20
74,250,50,240,20,1,2.56,20.82,60.59,16.03,3.19,14.78,52.11,10.25,0.24,19.43,6.179,0.831095847642835,1097.22222222222,0,0,0,20
75,250,50,240,20,1,2.56,20.82,60.59,16.03,3.19,14.78,52.11,10.25,0.24,19.43,6.144,0.831095847642835,1097.22222222222,0,0,0,20
76,230,60,240,20,1,2.56,20.82,60.59,16.03,3.15,13.64,50.32,12.55,0.23,20.11,6.317,0.801565793435712,1097.22222222222,0,0,0,20
