z_m,z_mm,yield_tr_pct,yield_mr_pct,p_h2o_mr_bar,p_h2o_crit_bar,F_CO2_mol_s,F_H2_mol_s,F_CH3OH_mol_s,F_H2O_mol_s,F_CO_mol_s
0.0,0.0,0.0,0.0,7.050000000000001,1.5,9.12514721281719e-05,0.0002737544163845157,0.0,0.0,0.0
3.26954204263881e-06,0.00326954204263881,0.0010990149494542534,0.0015680356492631005,7.049828352550339,1.5,9.09134818734205e-05,0.00027310859682356435,1.539145653653551e-07,3.379849937661837e-07,1.8407564690232636e-07
7.210541275600764e-06,0.0072105412756007636,0.0024236719903325773,0.003458018915581305,7.049621463642362,1.5,9.056384653226271e-05,0.0002724680247834027,2.9938266160832216e-07,6.875681122691969e-07,3.882426930254559e-07
1.1151540508562718e-05,0.011151540508562718,0.0037482637769125178,0.005347919423460691,7.049414584925998,1.5,9.025714733551052e-05,0.0002719269568903954,4.1656662570993126e-07,9.941647454443849e-07,5.777575960458339e-07
1.8694435472417187e-05,0.018694435472417188,0.0062832908190816215,0.008964873076941975,7.04901865680252,1.5,8.974995588138663e-05,0.00027107005672674027,5.914199577195173e-07,1.5010388433445208e-06,9.100947993464062e-07
2.7631220483731506e-05,0.027631220483731504,0.009286469106335675,0.013249829729880635,7.0485496114140656,1.5,8.923884655394844e-05,0.00027024799322911776,7.46895449458449e-07,2.0115951032471935e-06,1.2657271646007332e-06
3.995564554166177e-05,0.03995564554166177,0.01342750279187967,0.019158373989137525,7.047902852358206,1.5,8.863616483341657e-05,0.0002693234950065436,9.078009883747106e-07,2.613246292851038e-06,1.7075008032518002e-06
5.4845811918035483e-05,0.05484581191803548,0.018429780240048835,0.026295900155139548,7.047121581669483,1.5,8.80117186825834e-05,0.000268407999253111,1.053321905259939e-06,3.2360925495587218e-06,2.1864223566720102e-06
7.52560121216386e-05,0.0752560121216386,0.025284973038692406,0.03607750822014575,7.046050917106269,1.5,8.727730604039077e-05,0.0002673759775004731,1.2021203167855844e-06,3.967772647421489e-06,2.772030722417358e-06
9.974506551530114e-05,0.09974506551530114,0.03350782621278586,0.0478109834413533,7.044766647245362,1.5,8.652112774609633e-05,0.00026635370782580496,1.335157681722266e-06,4.719965641921416e-06,3.395163660115019e-06
