T_in_K,T_in_C,co2_conversion,meoh_yield,meoh_selectivity,h2o_removal_fraction,outlet_temp_K,max_temp_K
473.15,200.0,0.3777858966496501,0.10125207286311355,0.268014432939545,0.9358590322384976,475.65,479.95
477.43571428571425,204.28571428571428,0.4146173864759718,0.14268880178368118,0.3441457267300352,0.9372163117604256,479.93571428571425,484.23571428571427
481.72142857142853,208.57142857142858,0.4497074248121657,0.19692133753358929,0.4378876724480135,0.9369261715074363,484.22142857142853,488.52142857142854
486.00714285714287,212.85714285714286,0.4848269855915597,0.26085621739886633,0.5380398062632253,0.9352503638841722,488.50714285714287,492.8071428571429
490.2928571428571,217.14285714285714,0.5216226922434087,0.32899489485275724,0.6307143069980472,0.9328469144002193,492.7928571428571,497.0928571428571
494.5785714285714,221.42857142857142,0.5607289320493749,0.3957754168789054,0.70582307110926,0.9307980090912856,497.0785714285714,501.37857142857143
498.8642857142857,225.71428571428572,0.6010848341423507,0.4568280791304449,0.7600059977927467,0.930374407224959,501.3642857142857,505.6642857142857
503.15,230.0,0.6397344122997524,0.5079701034359729,0.7940327949686091,0.9327007158876675,505.65,509.95
507.43571428571425,234.28571428571428,0.6723905048120628,0.5440959468082702,0.80919635675157,0.9383357424468936,509.93571428571425,514.2357142857143
511.72142857142853,238.57142857142856,0.695907228341897,0.5619255237531967,0.8074718883033709,0.9461633867996703,514.2214285714285,518.5214285714285
516.0071428571429,242.85714285714286,0.7111985817471171,0.5652447132341564,0.7947776159024205,0.9534140370854459,518.5071428571429,522.8071428571428
520.2928571428571,247.14285714285714,0.7211877136137238,0.5607262102182934,0.7775038310187085,0.9586996113842712,522.7928571428571,527.092857142857
524.5785714285714,251.42857142857144,0.7279787210517563,0.5518974338485876,0.7581230300952024,0.9623176007063318,527.0785714285714,531.3785714285714
528.8642857142856,255.71428571428572,0.732818044798606,0.5401601081004123,0.737099900765762,0.964801616276029,531.3642857142856,535.6642857142856
533.15,260.0,0.7364800343593677,0.5261685126269212,0.7144368999556282,0.9665312542064182,535.65,539.9499999999999
