water_permeance,co2_conversion,meoh_yield,meoh_selectivity,h2o_removal_fraction
0.0,0.02351123706813528,0.020457346910847784,0.8701093375717737,0.0
2.142857142857143e-08,0.026470615789394327,0.023132023520281795,0.873875534453943,0.28314125783393307
4.285714285714286e-08,0.02987766047469387,0.026265646929901645,0.8791065469181707,0.4569258945284976
6.428571428571429e-08,0.03355595129069108,0.029689806539888203,0.8847851244832542,0.5670664986551266
8.571428571428572e-08,0.037358187949782795,0.03325873024048803,0.8902661522340108,0.6408202035708147
1.0714285714285714e-07,0.04119982501513209,0.03688574715035721,0.8952889274847722,0.6931736239632669
1.2857142857142858e-07,0.04504321487730664,0.04053005440734841,0.8998037666216439,0.7322152513148907
1.5e-07,0.04887496391282027,0.04417529101603524,0.9038429387862348,0.76248599964702
1.7142857142857143e-07,0.05269306013550052,0.04781700328423388,0.9074630162164069,0.7866630513412628
1.9285714285714287e-07,0.056500231064207915,0.051455982552968155,0.9107216304034634,0.8064215981255936
2.1428571428571428e-07,0.06030065133666337,0.0550948772475986,0.913669687247643,0.8228781533921568
2.3571428571428572e-07,0.0640990734336299,0.058737227260821534,0.9163506446257781,0.8368008511265097
2.5714285714285716e-07,0.06790049675946297,0.062387065059357386,0.918801305391956,0.8487267433725777
2.785714285714286e-07,0.07170965582440443,0.06604831428715953,0.9210518936095851,0.8590610701296517
3e-07,0.07553119233095944,0.06972495279132447,0.9231279242330345,0.8681010858205522
